"Nominal brown shrimp prices by size, 0-15, 15-20, etc.",,,,,,,,,
,,0-15,15-20,20-25,25-30,30-40,40-50,50-67,Pieces
Year,Month,price1,price2,price3,price4,price5,price6,price7,price8
2008,10,5.417791557,4.147288701,3.269867163,2.886873248,2.64374405,2.469356226,2.158587759,1.545326623
2008,11,5.344196562,3.900743253,3.095395683,2.873634507,2.601433555,2.364646063,2.136721959,1.317488619
2008,12,4.980642531,3.476757041,2.98220022,2.709492759,2.451689479,2.483067422,2.181515048,1.59574561
2009,1,4.919902308,3.475879568,3.059111666,2.825745939,2.581110749,2.425856915,2.223217809,1.903870746
2009,2,5.256191441,3.315929676,3.028050404,3.066422943,2.570047525,2.559665569,2.241372471,1.697888912
2009,3,4.967821063,3.216365612,3.087611552,3.033740747,2.514252614,2.483954015,2.305849093,1.978060093
2009,4,4.687305004,3.311850891,3.340493146,3.135203038,2.701596345,2.832684631,2.349903608,1.127219377
2009,5,4.41949552,3.156498379,3.12865844,2.899004168,2.610348711,2.222288356,1.894232817,1.023285287
2009,6,4.064158644,2.901307746,2.713683631,2.773245224,2.297502988,1.868119534,1.775587947,1.113840567
2009,7,3.772615146,2.76749008,2.546735825,2.346012094,1.952400192,1.627480218,1.621985715,1.358756185
2009,8,3.276958176,2.539559277,2.317583576,1.997908051,1.619046177,1.289137424,1.281836745,1.513190908
2009,9,3.19374404,2.593600879,2.36585752,2.068137356,1.555640031,1.362334276,1.350470692,1.190330957
2009,10,3.284726566,2.69609266,2.578923035,2.164154627,1.664474702,1.551448521,1.40549131,1.324342248
2009,11,3.502210468,2.605513784,2.42181801,2.215829513,1.617999265,1.738668869,1.586016692,1.34779024
2009,12,4.067439777,3.030852922,2.499708365,2.451760885,1.716832713,1.971959017,2.019679849,1.264669692
2010,1,4.464392945,3.282609609,2.459407609,2.327946262,1.979320872,1.914027149,1.699359623,1.111910925
2010,2,5.241534295,3.63065993,3.001522361,2.592760706,1.788134102,3.585613568,4.244044944,0.48
2010,3,5.462358988,3.66527762,3.206210909,2.730144527,2.095320449,2.587915601,2.784100782,2.138304392
